id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,number,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
3452a170,,BE40,,FALSE,,,,,BE40,2,32,27,0,0,0,19,40.485,24.89,40000,377.5
3452a591,3C79C1,A320,D-ANNA,FALSE,BEY,BER,SR111,SDR,SDR11DL,3,1,4,-374.3558042,-366.3119467,-403.3393455,19.5,44.26,24.7,33175,442.6666667
3452a86b,738062,B738,4X-EKR,FALSE,WAW,TLV,LY5102,,ELY5102,1,1,10,-390.0724437,-394.5681577,-403.3678955,19.2,41.57,26.81,37000,444.8
3452afc1,781140,B763,B-1423,FALSE,LGG,YNT,O37564,CSS,CSS7564,15,5,9,-436.6697427,-438.8987337,-420.0108106,19.5,58.445,25.025,32691.66667,461
3452b5c5,,GLF6,,FALSE,,,,,GLF6,3,8,2,0,0,0,19,38.165,21.19,45000,551.75
3452b8ed,48A2B3,C525,SP-IZU,FALSE,BLQ,LBA,,BNI,BNI5U,37,14,1,-294.1460807,-260.858722,-284.1763089,19.2,48.5,4.7,35380,318.4
3452b96f,4D2122,GLEX,9H-NBB,FALSE,DWC,MAD,,,EAU53B,2,2,8,-434.7283556,-385.2625306,-402.9849892,2.111111111,39.9,13.37,33536.11111,339.8888889
3452b9f7,45209C,A320,LZ-MDI,FALSE,LIS,SOF,W64374,USW,WZZ8VL,18,9,6,-435.4912756,-457.9155489,-447.2048651,19.8,40.35,6.79,34190,482.4
3452bc4d,,F2TH,,FALSE,,,,,F2TH,28,2,2,0,0,0,19,52.065,11.505,41062.5,452.75
3452bc6c,739443,C650,4X-CZA,FALSE,CTA,AGP,,,4XCZA,3,23,40,-270.218988,-306.2086284,-347.601728,19.2,40.24,5.3,38370,397.2
3452c246,4D23AA,GALX,9H-777MF,FALSE,MAD,MAN,,LWG,LWG10I,323,3,304,-363.4386137,-344.6183534,-340.9687962,19.5,47.675,-3.15,36712.5,407.25
3452c75a,346391,E295,EC-NFA,FALSE,ZAZ,LPA,NT5449,IBB,IBB5449,13,41,2,-339.7046177,-410.5975486,-407.9932899,19,38.2,-7.74,32918.75,438
3452c775,4D21E6,B738,9H-SHO,FALSE,PRG,TLV,BZ461,BBG,BBG461,6,2,12,-365.3636326,-361.1343529,-344.9031159,19.8,42.57,22.08,36050,430.2
