id,icao_24bit,aircraft_code,registration,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,time,duration,latitude,longitude,altitude,ground_speed,turn1,turn2,turn3,turn4,deltaD1,deltaD2,deltaD3,deltaD4
347b4813,4CADA0,C56X,EJ-PRLN,DUB,AGP,SON5,SON,SON005,46.28333333333333,19.397916666666667,45.405,-4.484999999999999,39606.25,437.0,0,0,1,13,1071.9930366386843,-656.1327061716468,-415.8603304670376,676.9219167607758
347b48bd,347647,E295,EC-OEC,VCE,LPA,NT3063,IBB,IBB5UV,45.05,21.158333333333335,35.47,-7.26,37000.0,402.75,3,1,1,0,0.0,1187.4667906580826,-1187.4667906580826,0.0
347b4919,601828,B77W,EZ-A781,DME,ASB,T5706,TUA,TUA706,16.183333333333334,19.397222222222222,49.760000000000005,51.635000000000005,35000.0,486.6666666666667,4,47,0,7,0.0,0.0,1210.8329434737493,-1210.8329434737493
347b49c3,C023C8,B789,C-FNOH,FRA,YYZ,AC843,ACA,ACA843,31.05,19.773809523809522,56.03,-5.57,37117.857142857145,440.0,4,3,2,13,0.0,0.0,0.0,0.0
347b4a9b,4D22AB,A20N,9H-NED,MLA,LHR,KM102,AMC,AMC102,46.18333333333333,20.15416666666667,46.010000000000005,5.225,33378.125,381.0,7,8,1,7,0.0,2497.231457924505,-2497.231457924505,0.0
347b4b5d,02A262,A320,TS-ITC,TUN,ORY,TU724,TAR,TAR724,45.06666666666667,19.65,44.22,6.775,34006.25,392.25,7,1,2,0,0.0,6232.152292835744,-1594.568563816424,0.0
347b4c33,ADFF0C,K35R,60-0335,MHZ,,,RCH,HOBO19,16.2,22.658333333333335,52.19,10.18,32566.666666666668,434.3333333333333,3,2,1,1,-1948.2624218100464,-1310.7537250931682,0.0,9825.974396129372
347b4e91,734844,A310,EP-RBD,IKA,IST,MRJ4806,MRJ,MRJ4806,31.166666666666668,20.976666666666667,39.51,35.41,35035.0,472.4,12,7,6,17,814.2059201020218,-814.2059201020218,5294.961894700775,-5294.961894700775
347b50e3,0C802E,A343,PZ-TCW,AMS,PBM,PY993,SLM,SLM993,46.166666666666664,19.9,48.81,-9.825,35250.0,470.875,15,2,2,27,0.0,266.3180050018235,-266.3180050018235,0.0
347b5435,4520FB,B734,LZ-GPA,PRN,DUS,IV822,GPX,GPX822,16.183333333333334,19.141666666666666,47.175,15.059999999999999,35833.333333333336,412.1666666666667,1,1,2,15,0.0,0.0,0.0,0.0
