,id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
61,347b9338,0100DE,B738,SU-GCP,0,LHR,CAI,MS531,MSX,MSR531,0.05276181729939467,0.15111087675915258,0.007947120945560748,0.027140126272066266,0.0,0.0,0.00048016723240508973,44.09,17.42,0.9999242065640706,0.012302461812287096
62,347b9642,155C1D,SU95,RA-89117,0,AER,CEE,D2364,SSF,SSF364,0.04484754470448547,0.03434338108162559,0.003973560472780374,0.24779429279226292,-0.044275248837816895,-0.027137211207137125,0.001490921870762099,53.905,42.075,0.999921158515927,0.012468115500819638
63,347b974d,4C01E7,A320,YU-APH,0,SVO,BEG,JU653,ASL,ASL653,0.03429518124460654,0.17171690540812792,0.001986780236390187,0.08477780087138315,0.021401976955212194,0.0,0.0013593471614359645,52.19,22.53,0.9999397412068045,0.010893398485479992
64,347b9bac,70C0AC,A332,A4O-DF,0,FRA,MCT,WY116,OMA,OMA116,0.015828545189818403,0.02747470486530047,0.0059603407091705606,0.01412262098138271,0.019240819457502,0.02459709264385364,0.0004495888520418,45.175,23.07,0.9999229280232756,0.012407090038489443
65,347b9dcd,4A1265,A320,YR-DSE,0,DUB,BCM,DN408,JOC,JOC408,0.013190454324848668,0.03434338108162559,0.021854582600292057,0.15661207246481154,0.17536818914906194,-0.014212740815351507,0.0010530867863036374,50.74,14.31,0.9998868701218113,0.015004598169519219
66,347b9df8,7816BD,A332,B-308P,0,BUD,TFU,3U9808,CSC,CSC9808,0.010552363459878934,0.10989881946120188,0.05364306638253505,-0.17759178315585045,-0.2746119574417961,-0.19870621283522838,9.742292481595544e-05,42.51,34.75,0.9999047480494737,0.013801642543271354
67,347b9ebf,5083DF,B738,UR-SQB,0,CDG,LXR,FT3302,SQP,FEG3302,0.013190454324848668,0.013737352432650235,0.009933901181950935,-0.10899463652717176,0.07729920039850821,-0.030279505723579115,0.0004984687121129206,41.21,16.51,0.9998993397615846,0.01417962881355421
68,347b9ed6,5100FA,E75L,EW-512PO,0,BXY,MSQ,B28748,BRU,BRU8748,0.013190454324848668,0.0412120572979507,0.03377526401863318,0.10584158625255073,0.0,0.0,6.807227086929818e-05,54.225,37.99,0.9999356978652063,0.011339995634412832
69,347b9f0b,780C5D,B77L,B-2093,0,MAD,HGH,CAO3138,CAO,CAO3138,0.05276181729939467,0.13737352432650235,0.001986780236390187,0.016908924474220467,0.303502670280185,0.0,0.0005647243875065762,51.6,12.015,0.9998660732003378,0.016355939266910213
70,347ba116,896442,B77L,A6-DDE,0,AMS,AUH,EY918,ETD,ETD918,0.0,0.02747470486530047,0.015894241891121496,0.0,0.02169439666392366,0.20126422385777912,0.0014493276641556051,43.525000000000006,27.47,0.9998881456335748,0.014886089841626383
71,347ba125,34654B,A321,EC-NLJ,0,ATH,BCN,VY8103,PVG,VLG1FB,0.03693327210957627,0.06181808594692605,0.003973560472780374,0.062418585410164665,-0.0076812517693634836,-0.005822633103096721,0.000543049350872953,40.615,13.265,0.9999191308465026,0.012705780754337615
72,347ba451,3C6568,A333,D-AIKH,0,FRA,MLE,4Y154,OCN,OCN154G,0.007914272594909202,0.07555543837957629,0.01788102212751168,-0.11941833643280968,-0.08386428638716824,-0.04998669499522033,6.329754869425072e-05,41.56,32.62,0.9999177982135259,0.012821575926328177
73,347bab6d,4BB4E4,B738,TC-MGD,0,AYT,CGN,4M605,MGH,MGH605,0.10816172546375909,0.13737352432650235,0.021854582600292057,0.0264935442992668,-0.0031107807920114283,0.004971681490996104,9.316407854635635e-05,45.03,20.57,0.9999340442539866,0.01148470558268308
74,347bac03,45C86B,A20N,OY-RCK,0,MLA,CPH,RC7125,FLI,FLI7125,0.0,0.0,0.0,0.3124844175586578,0.1442879347897297,0.019832353201976582,0.0013232190671389082,48.61,12.81,0.9999190537958224,0.012654443779453206
75,347bac21,4B8472,B744,TC-ACR,0,CDG,DOH,QR8254,RUN,QTR8254,0.021104726919757868,0.02747470486530047,0.007947120945560748,-0.02746786464905056,0.028867953098942547,0.26318494808160026,9.656635882669954e-05,44.64,23.27,0.9998929470006961,0.014631651075720793
76,347bae3e,781140,B763,B-1423,0,LGG,YNT,O37564,CSS,CSS7564,0.013190454324848668,0.006868676216325117,0.023841362836682242,0.0,0.007621047196623476,0.08748849631049155,0.000983686078421843,59.71,31.38,0.9998827846899949,0.015279045856358678
77,347baf70,43C174,C17,ZZ174,0,BZZ,,RRR6652,RRR,RRR6652,0.0,0.0412120572979507,0.021854582600292057,0.1699958313468712,0.0,0.04664530268308719,0.0005339586646029684,48.985,16.009999999999998,0.9998956384543413,0.014437004125844895
78,347bb0c1,7335B4,A343,EP-MMT,0,IST,IKA,W5115,IRM,IRM115,0.015828545189818403,0.02060602864897535,0.021854582600292057,-0.4476814063243238,-0.27824441952654944,-0.2864795771180843,6.758682855261307e-05,38.83,40.94,0.999901591210999,0.014028660867421813
79,347bb1ea,5140B3,B738,4L-GTD,0,TBS,VKO,A9930,TGZ,TGZ930D,0.6859036248921307,0.29535307730198,0.01986780236390187,0.0,0.09401731932636043,0.0,6.122000565143162e-05,48.87,44.68,0.9999267589733831,0.012102600592298767
80,347bb4fb,3CCD4B,LJ60,D-CFAX,0,TZX,BUD,IFA1065,IFA,IFA1065,0.0026380908649697335,0.21979763892240375,0.013907461654731309,0.025908166149719164,0.032689165666923085,0.02045340686997399,6.526502151470874e-05,42.94,29.02,0.9999185758932614,0.012760772863323649
81,347bb5a7,46D1F9,C650,SX-TOY,0,BQH,ATH,LLK602,LLK,LLK602,0.05276181729939467,0.02747470486530047,0.011920681418341121,-0.2808766254648936,-0.2275371626358883,-0.1797381257046086,0.0008984954385325693,44.74,14.27,0.9999242256321522,0.012277446798411057
82,347bb841,39B228,A332,F-HMRI,0,AMS,IST,TK6370,CMA,THY6370,0.005276181729939467,0.07555543837957629,0.0,0.327159354478837,0.021598377040710732,0.018894014562385788,0.001271176384351091,45.75,20.9,0.9999180591781885,0.01273809404599657
83,347bb959,730601,A343,EP-APA,0,IST,IKA,EP513,IRC,IRC513,0.007914272594909202,0.02060602864897535,0.007947120945560748,0.1305097001825656,0.12608314910167745,0.0,6.727039229220229e-05,38.59,42.05,0.999905132490345,0.01377394257865338
