,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
271,37.2,1078.4265908626958,22.5,347b9c36,71010F,152,37000,513,,B77W,HZ-AK37,1711228644,LHR,RUH,SV118,SV,0,-64,SVA118,SVA
275,34.54,454.64859289650025,22.2,347bdca9,018090,82,37000,426,,A319,5A-WLD,1711228644,MJI,IST,YL100,YL,0,-128,LWA100,LWA
337,41.56,675.8369000169749,32.62,347ba451,3C6568,111,37000,436,,A333,D-AIKH,1711228644,FRA,MLE,4Y154,4Y,0,0,OCN154G,OCN
350,51.53,2897.374984409452,4.35,347bc141,45AB50,33,37000,461,,B738,OY-JZP,1711228646,PMI,BLL,JP526,JP,0,0,JTD526,JTD
363,53.36,942.0090317952482,-4.68,347b17d6,AB5C12,101,37000,543,,B789,N831AA,1711228645,ORD,LHR,AA90,AA,0,128,AAL90,AAL
364,40.66,769.5310596165576,50.13,347b73ae,507C8F,86,37000,514,,B763,UK67010,1711228645,OSR,TAS,C67600,C6,0,0,MFX7600,MFX
375,59.06,0.0,18.47,347bd330,781F74,50,37000,531,,A359,B-32EE,1711228645,AMS,PKX,CZ346,CZ,0,64,CSN346,CSN
382,40.08,0.0,-3.84,347b7ca2,504E72,253,37000,394,,A320,ER-00008,1711228645,RMO,LIS,5F811,5F,0,0,FIA811,FIA
402,48.9,4114.9905509177215,-7.25,347b42de,0101DC,113,37000,552,,B789,SU-GES,1711228645,JFK,CAI,MS986,MS,0,-64,MSR986,MSR
446,51.57,0.0,9.41,347b2ae8,A95C2F,297,36025,464,,B744,N702CA,1711228644,,,,,0,64,CMB559,NCR
519,43.41,929.044001807951,0.93,347bab07,45211E,52,36000,480,,A320,LZ-LAJ,1711228643,FUE,STR,DI6453,DI,0,-64,MBU6453,MBU
568,34.03,0.0,36.81,347bc214,748018,260,36000,386,,A320,OD-MRS,1711228643,JED,BEY,ME369,ME,0,0,MEA369,MEA
610,39.33,0.0,25.12,347bc467,01023F,333,36000,412,,B738,SU-RSB,1711228643,,,4S3113,4S,0,0,RSX3113,RSX
682,37.94,0.0,37.96,347b91a2,4BBB21,142,35025,500,,A333,TC-NYA,1711228635,AYT,IKA,4M4383,4M,0,64,MGH4383,TAH
684,41.0,1053.0509488297218,46.45,347b9df8,7816BD,109,35025,507,,A332,B-308P,1711228644,BUD,TFU,3U9808,3U,0,0,CSC9808,CSC
689,49.09,1175.6365262657573,1.66,347bf501,4D22AB,141,35025,510,,A20N,9H-NED,1711228643,LHR,MLA,KM103,KM,0,0,AMC103,AMC
697,42.51,0.0,-0.6,347be336,4CAC28,211,35000,407,,CRJX,EI-HBC,1711228645,LYS,MAD,IB3733,IB,0,-64,IBS3733,HBN
699,44.2,590.4040183185851,21.66,347bdd3d,4D21E6,145,35000,447,,B738,9H-SHO,1711228645,PRG,TLV,BZ461,BZ,0,0,BBG461,BBG
705,39.29,0.0,38.46,347bdb52,731A2D,103,35000,490,,A306,EP-FQM,1711228646,IST,IKA,QB2214,QB,0,-64,QSM2214,QSM
707,40.68,1319.669286250166,33.09,347be872,150694,83,35000,386,,CRJ2,RA-67220,1711228633,IST,VKO,RFE9006,RF,0,128,RFE9006,PLG
708,42.32,602.8294444184537,29.72,347b98fc,70605E,113,35000,468,,B77W,9K-AOL,1711228644,LHR,KWI,KU106,KU,0,0,KAC106,KAC
726,37.49,843.2526778035833,45.83,347b7d89,3C4581,108,35000,530,,B77L,D-AALA,1711228646,FRA,BOM,3S628,3S,0,0,BOX628,BOX
728,51.52,863.8604937192185,22.1,347b8c6f,010250,11,35000,523,,A321,SU-TCL,1711228646,SSH,SVO,UJ611,UJ,0,0,LMU611,LMU
733,59.74,498.7977313823129,46.08,347be22b,151E6E,88,35000,512,,A321,RA-73326,1711228647,LED,OMS,N4305,N4,0,0,NWS305,NWS
744,39.79,0.0,25.1,347b91ab,738C0A,157,35000,480,,B763,4X-IAJ,1711228644,OSL,TLV,5C602,5C,0,0,ICL602,CHG
748,34.8,673.8742783259752,31.95,347bce03,738054,144,35000,446,,B739,4X-EHE,1711228644,OTP,TLV,LY572,LY,0,-64,ELY572,ELY
752,50.06,6104.430642846376,12.4,347bf12b,3007F1,88,35000,465,,E190,I-JEND,1711228645,FRA,KTW,EN8762,EN,0,128,DLA9EH,DLA
755,59.48,1985.5853790595854,40.52,347bde41,140AB5,96,35000,498,,E190,RA-02741,1711228647,LED,MQF,EO341,EO,0,0,KAR341,KAR
766,41.42,193.89262019642368,42.74,347bc95b,503E9A,88,35000,476,,A320,LY-WIZ,1711228643,IST,GYD,J278,J2,0,-384,AHY078,AHY
767,37.11,5754.397184312707,-10.68,347b6bb9,E8021C,208,35000,448,,B763,CC-CXE,1711228644,FRA,SID,UC1506,UC,0,0,LCO1506,LCO
770,39.23,4545.964356446776,19.01,347bc57c,39B117,138,35000,516,,A35K,F-HMIX,1711228643,ORY,RUN,BF700,BF,0,0,FBU70A,FBU
796,41.3,425.7153506878619,30.91,347bfc2f,732443,159,34975,425,,A306,EP-IBC,1711228638,IST,IKA,IR768,IR,0,0,IRA768,IRA
804,50.37,693.5963305138008,15.64,347af3f8,A2CB32,124,34975,511,,B789,N27964,1711228645,EWR,DEL,UA816,UA,0,0,UAL816,UAL
808,36.59,2546.246434849344,25.21,347b9cbb,0101B4,146,34975,476,,A320,SU-BQM,1711228645,BRE,HRG,NP6292,NP,0,64,NIA6292,NIA
816,35.08,1218.6196311138483,20.79,347bdd07,02A193,103,34950,483,,A320,TS-IMT,1711228644,TUN,JED,TU5529,TU,0,192,TAR5529,TAR
820,42.89,6353.101568558753,28.28,347bac21,4B8472,117,34900,468,,B744,TC-ACR,1711228645,CDG,DOH,QR8254,QR,0,0,QTR8254,RUN
842,45.87,1839.3988454790403,5.91,347b842c,3C79C1,53,34025,508,,A320,D-ANNA,1711228645,LPA,BER,SR3499,SR,0,-128,SDR39CJ,SDR
863,39.85,1123.1478216245257,4.02,347b70e4,E494A2,77,34000,469,,E390,FAB2854,1711228646,LPA,CIA,BRS505,BR,0,0,BRS505,BRS
864,45.93,1483.7975494554644,50.92,347bd05b,600012,202,34000,412,,B735,EK-SHC,1711228645,UFA,EVN,5G101,5G,0,-64,SHS101,SHS
866,36.35,5872.234537236068,3.6,347be968,05E057,262,34000,392,,B38M,5T-CLJ,1711228645,TUN,NKC,L6117,L6,0,0,MAI117,MAI
885,46.7,1527.7602641363658,20.74,347b00c5,440A8D,296,34000,468,,B744,OE-IFK,1711228644,NQZ,LGG,3V854,3V,0,64,TAY854,ABR
910,35.69,0.0,27.19,347bd622,01023D,333,34000,441,,A320,SU-BUU,1711228644,HRG,NUE,SM2966,SM,0,0,MSC2966,MSC
924,48.81,3786.0396787719915,2.31,347bbd92,4D2302,58,33975,454,,B38M,9H-VUD,1711228645,AGP,NRN,FR8613,FR,0,0,RYR7BM,MAY
947,46.55,852.998631524642,20.61,347be2e0,70C126,118,33050,460,,A21N,A4O-OXA,1711228645,MUC,MCT,OV996,OV,0,0,OMS996,OMS
949,43.68,0.0,15.15,347bc9d0,738289,124,33050,490,,A320,4X-ABW,1711228644,VRN,TLV,6H358,6H,0,0,ISR358,ISR
961,42.06,1654.3691813850005,30.78,347ba116,896442,112,33000,458,,B77L,A6-DDE,1711228647,AMS,AUH,EY918,EY,0,0,ETD918,ETD
964,55.32,1035.4426531401452,18.53,347b9f0b,780C5D,39,33000,532,,B77L,B-2093,1711228642,MAD,HGH,CAO3138,CA,0,0,CAO3138,CAO
973,47.83,1535.9154813264045,12.13,347bef8f,45203C,141,33000,440,,B733,LZ-BVL,1711228642,FMO,PRN,IV641,IV,0,-64,GPX641,BVL
978,46.02,6462.94647958061,24.59,347baf70,43C174,121,33000,450,,C17,ZZ174,1711228644,BZZ,,RRR6652,RR,0,64,RRR6652,RRR
980,60.17,2914.333518130925,35.31,347bae3e,781140,77,33000,498,,B763,B-1423,1711228647,LGG,YNT,O37564,O3,0,64,CSS7564,CSS
989,44.19,723.6805039146528,9.11,347ba117,399264,126,33000,533,,A339,F-HETE,1711228646,ORY,RUN,SS772,SS,0,0,CRL772,CRL
993,48.4,309.4039771637348,10.75,347bd972,7C4923,132,33000,526,,A388,VH-OQD,1711228645,LHR,SIN,QF2,QF,0,64,QFA2,QFA
998,43.38,674.0409989221171,17.37,347bd07e,4520FB,126,33000,448,,B734,LZ-GPA,1711228642,DUS,PRN,IV823,IV,0,-64,GPX823,GPX
999,40.71,1579.412807481112,51.19,347b608c,867FAC,86,33000,559,,B77W,JA733J,1711228646,CDG,HND,JL46,JL,0,0,JAL46,JAL
1011,58.1,0.0,23.85,347bcd02,781112,68,33000,545,,B789,B-7838,1711228646,AMS,XMN,MF812,MF,0,-64,CXA812,CXA
1015,42.68,1116.4635780865672,33.21,347b8bba,4CAC13,78,33000,406,,A21N,EI-KGD,1711228639,LHR,SCO,KC664,KC,0,0,KZR664,KZR
1028,47.69,1140.7060281375395,15.74,347be247,885177,113,33000,541,,B77W,HS-TKW,1711228645,FRA,BKK,TG923,TG,0,0,THA923,THA
1029,61.27,1758.5175756738456,26.39,347bbace,781F03,71,33000,525,,B77L,B-223G,1711228644,STN,CAN,CSG2532,CS,0,0,CSG2532,CSG
1038,42.14,1092.0934382701842,15.97,347bc04e,060030,139,33000,500,,A359,3B-NBQ,1711228645,LGW,MRU,MK53,MK,0,64,MAU53,MAU
1043,47.12,0.0,24.43,347b9dcd,4A1265,117,32975,462,,A320,YR-DSE,1711228645,DUB,BCM,DN408,DN,0,0,JOC408,JOC
1072,40.85,0.0,-10.07,347be21b,C03261,273,32000,477,,B763,C-FTCA,1711228644,MAD,YYZ,AC7136,AC,0,0,ACA7136,ACA
1083,40.48,473.1376543469875,24.2,347beab8,4B9C62,255,32000,466,,A321,TC-GCB,1711228645,IST,,B5677,B5,0,0,BBT677,BBT
1096,46.69,7639.915230177042,21.22,347bd74e,4BB463,313,31975,470,,A306,TC-MCC,1711228645,IST,LEJ,MB9345,MB,0,-64,MNB9345,MNB
1112,47.61,413.2168359470037,10.7,347bd4fd,4B1939,300,31200,378,,A319,HB-JOJ,1711228645,OHD,ZRH,GM639,GM,0,-1600,GSW639,GSW
1116,43.65,985.2347270717092,15.89,347bd62d,46B8A8,128,31025,487,,A20N,SX-NEH,1711228646,CDG,ATH,A3615,A3,0,192,AEE615,AEE
1121,53.91,1321.2309661677223,43.43,347ba7b6,151D4A,115,31000,520,,B763,RA-73034,1711228647,VKO,CMB,ZF1611,ZF,0,64,AZV1611,AZV
1123,42.21,2111.8939013808736,42.16,347b8550,71BE23,62,31000,496,,B748,HL7623,1711228647,FRA,ICN,KE530,KE,0,0,KAL530,KAL
1128,56.22,255.0594322998022,11.15,347bf36a,51112E,144,31000,348,,SB20,ES-NSE,1711228644,KRS,DEB,OJ721,OJ,0,-64,NYX721,NYX
1131,34.77,712.3725482928345,23.72,347b4020,3A2E23,141,31000,546,,B77W,F-OLRD,1711228644,CDG,RUN,UU974,UU,0,0,REU974,REU
1159,40.79,3414.472529473159,-10.55,347bbf27,495267,78,30175,392,,A21N,CS-TSG,1711228644,PDL,OPO,S4174,S4,0,-960,RZO174,RZO
1167,56.74,359.9282431444001,-8.68,347bcd90,A5DC31,290,30000,383,,B744,N477MC,1711228644,AMS,ORD,5Y8154,5Y,0,0,GTI8154,GTI
1176,58.0,214.0180001960364,38.91,347b9642,155C1D,335,29525,390,,SU95,RA-89117,1711228642,AER,CEE,D2364,D2,0,-1664,SSF364,SSF
1182,47.48,189.0333204575051,20.56,347bbf5e,869560,120,29000,486,,B77W,JA795A,1711228645,LHR,HND,NH212,NH,0,0,ANA212,ANA
1201,40.95,491.1657426374984,27.13,347be813,501024,259,27925,472,,A320,ZA-MMK,1711228644,IST,TIA,ZB1004,ZB,0,1472,ABN1004,ABN
1204,58.65,2307.2959809285826,22.4,347bc08e,502D3F,53,27825,480,,BCS3,YL-ABA,1711228646,LGW,TLL,BT872,BT,0,-2048,BTI77Y,BTI
1235,52.56,9825.974396129373,2.56,347b4c33,ADFF0C,276,25450,360,,K35R,60-0335,1711228644,MHZ,,,,0,-2368,HOBO19,RCH
1247,49.86,1044.6004186544199,0.61,347bf398,06E010,148,24925,492,,A333,9XR-WP,1711228645,LHR,KGL,WB711,WB,0,704,RWD711,RWD
1267,50.01,8914.921030677822,11.43,347c006d,490D01,37,23975,414,,CL35,CS-CHA,1711228646,NUE,BER,,,0,-64,NJE780D,NJE
1276,51.21,378.80802387727374,11.32,347bfc35,3CC803,155,23025,328,,D328,D-CDAX,1711228645,BWE,MUC,JW1904,JW,0,-64,PWF1904,PWF
1302,41.36,9369.601261685213,46.29,347bdf8d,683328,280,21475,376,,B738,UP-B3736,1711228644,SCO,TBS,DV841,DV,0,-2432,VSV841,VSV
1331,54.68,949.7215538140425,38.34,347bb1ea,5140B3,313,19150,380,,B738,4L-GTD,1711228639,TBS,VKO,A9930,A9,0,-1280,TGZ930D,TGZ
1353,61.35,0.0,26.75,347a50d1,5110FC,215,17850,193,,SF34,ES-NSC,1711228644,TLL,MIK,OJ903,OJ,0,1344,,NYX
1355,42.4,229.4738763064181,20.08,347bd3cc,451DBA,130,17775,406,,A320,LZ-LAA,1711228644,NUE,PRN,IV677,IV,0,-832,GPX677,BUC
1363,38.25,1153.1192589698403,26.47,347b6636,4B8392,218,17000,132,,DRON,TC-J1,1711228644,,,,,0,64,,HVK
1368,54.27,164.93002769619108,29.05,347b9ed6,5100FA,259,16325,340,,E75L,EW-512PO,1711228644,BXY,MSQ,B28748,B2,0,-1920,BRU8748,BRU
1371,36.62,7918.314721739427,13.82,347b4b2c,32000C,63,16000,282,,AT44,MM62270,1711228641,,,,,0,1408,RIMC,GCI
1382,40.52,0.0,49.75,347be207,728646,187,15150,316,,BCS3,YI-ARF,1711228646,GYD,BGW,IA422,IA,0,2112,IAW422,IAW
1388,39.83,199.30321094313447,-4.1,347ab226,AAA32D,108,14800,309,,B788,N785AV,1711228646,BOG,MAD,AV46,AV,0,-1792,AVA046,AVA
1425,50.75,0.0,-1.05,347bfc04,40788C,221,12000,276,,AT76,G-OGFC,1711228643,LGW,GCI,GR611,GR,0,64,AUR611Y,AUR
1445,55.63,863.7390591972401,38.71,347bc5ae,151E28,273,10900,274,,B738,RA-73256,1711228647,,,Y73633,Y7,0,-1024,TYA3633,TYA
1478,50.24,0.0,19.72,347b877c,5084D1,316,8875,244,,B753,UR-SLE,1711228644,HRG,KTW,QU9122,QU,0,-1088,UTN9122,UTN
1479,44.22,9934.11428563166,42.7,347bb5ba,155C60,66,8750,274,,SU95,RA-89184,1711228643,IST,MRV,WZ4656,WZ,0,-1536,RWZ4656,RWZ
1492,46.85,1835.5976698245693,28.05,347bbad5,5082E6,78,8100,338,,B739,UR-PSI,1711228644,FCO,RMO,5F298,5F,0,-1344,FIA298,WRC
1497,51.61,276.8347393970074,-0.55,347bfdea,7810C6,53,7925,282,,A332,B-8776,1711228644,LHR,CKG,GS7966,GS,0,2368,GCR7966,GCR
0,45.46,700.997170454083,15.51,347b6004,06A1D2,275,43000,446,,GLF6,A7-CGN,1711229548,DIA,LIN,QE985,QE,0,0,QQE985,QQE
2,40.27,3048.644332229059,41.83,347b6d21,4D2372,115,41025,488,,A332,9H-TQP,1711229547,STN,ISB,,,0,0,HFM640P,HFY
20,37.47,2328.684336588128,18.81,347bc9eb,345618,288,40000,404,,B738,EC-MUB,1711229547,LXR,MAD,,,0,0,LAV922P,LAV
27,66.12,308.91495019079287,2.5,347bbdc6,3C0C0A,313,40000,465,,FA7X,D-ATON,1711229547,WAW,CPR,H5956,H5,0,0,VJH956,VJT
46,39.8,1677.655171840017,22.07,347bb5a7,46D1F9,128,39000,450,,C650,SX-TOY,1711229546,BQH,ATH,LLK602,LL,0,64,LLK602,LLK
54,40.63,4764.314913729732,49.43,347bb9d7,503D6E,85,39000,511,,A332,LY-MAC,1711229548,IST,TAS,HY274,HY,0,0,UZB274,UZB
55,36.25,1249.055363992625,9.7,347bd316,710D87,97,39000,527,,A333,HZ-NE23,1711229547,CMN,MED,XY664,XY,0,0,KNE664,KNE
60,43.75,1106.1049809443027,26.58,347b9bac,70C0AC,120,39000,468,,A332,A4O-DF,1711229548,FRA,MCT,WY116,WY,0,0,OMA116,OMA
70,36.4,0.0,2.83,347a8b71,E07211,46,39000,527,,A332,LV-GHQ,1711229548,EZE,FCO,AR1140,AR,0,0,ARG1140,ARG
73,35.66,1131.6046731305967,25.8,347ba853,04C117,142,39000,524,,B788,5Y-KZA,1711229548,AMS,NBO,KQ117,KQ,0,-64,KQA117,KQA
80,37.71,1189.436394032754,24.87,347b9338,0100DE,140,39000,478,,B738,SU-GCP,1711229548,LHR,CAI,MS531,MS,0,-64,MSR531,MSX
94,37.05,0.0,47.4,347bb959,730601,109,38975,526,,A343,EP-APA,1711229548,IST,IKA,EP513,EP,0,0,IRC513,IRC
113,40.36,604.9905728608459,32.66,347ba106,71013C,289,38025,458,,A320,HZ-FAH,1711229548,RUH,SOF,F38123,F3,0,0,FAD8123,FAD
115,36.4,385.4956419264489,25.92,347bd8d3,501C1C,322,38025,430,,A320,9A-BTK,1711229550,HRG,LJU,C3176,C3,0,64,TDR176,TDR
158,40.46,0.0,24.39,347bc373,4A04E2,333,38000,414,,A320,YR-AGB,1711229548,HRG,OTP,A24105,A2,0,0,AWG4105,AWG
239,52.75,0.0,4.45,347bbcdf,4A29F9,283,37950,423,,A320,YR-JOY,1711229549,IAS,DUB,H4243,H4,0,-64,HYS243,HYM
240,36.52,4753.829993881551,48.86,347bb0c1,7335B4,122,37900,515,,A343,EP-MMT,1711229549,IST,IKA,W5115,W5,0,-2560,IRM115,IRM
247,34.11,0.0,30.38,347b6b49,010237,154,37075,467,,A320,SU-NML,1711229547,CGN,HRG,NE6304,NE,0,0,NMA6304,NMA
249,38.75,0.0,49.96,347bf2cc,800D6E,131,37050,458,,A20N,VT-IJA,1711229548,TBS,DEL,6E1808,6E,0,0,IGO1808,IGO
253,46.29,0.0,15.12,347b113e,76CCE2,114,37025,521,,A359,9V-SGB,1711229549,EWR,SIN,SQ21,SQ,0,192,SIA21,SIA
282,35.25,293.976366224477,23.71,347b9c36,71010F,153,37000,527,,B77W,HZ-AK37,1711229550,LHR,RUH,SV118,SV,0,0,SVA118,SVA
308,53.12,0.0,6.14,347bc141,45AB50,35,37000,463,,B738,OY-JZP,1711229548,PMI,BLL,JP526,JP,0,64,JTD526,JTD
311,40.78,2853.8589542556065,34.67,347ba451,3C6568,117,37000,460,,A333,D-AIKH,1711229551,FRA,MLE,4Y154,4Y,0,0,OCN154G,OCN
331,47.93,555.671612389621,2.17,347bf398,06E010,167,37000,510,,A333,9XR-WP,1711229549,LHR,KGL,WB711,WB,0,0,RWD711,RWD
336,60.21,671.8325525226227,22.14,347bd330,781F74,64,37000,522,,A359,B-32EE,1711229548,AMS,PKX,CZ346,CZ,0,-64,CSN346,CSN
342,40.92,2364.448416190464,52.93,347b73ae,507C8F,86,37000,514,,B763,UK67010,1711229548,OSR,TAS,C67600,C6,0,0,MFX7600,MFX
413,49.14,0.0,18.26,347af3f8,A2CB32,127,37000,492,,B789,N27964,1711229549,EWR,DEL,UA816,UA,0,64,UAL816,UAL
418,39.63,0.0,-5.97,347b7ca2,504E72,254,37000,419,,A320,ER-00008,1711229549,RMO,LIS,5F811,5F,0,-64,FIA811,FIA
420,34.73,0.0,24.4,347bdca9,018090,85,36975,452,,A319,5A-WLD,1711229548,MJI,IST,YL100,YL,0,0,LWA100,LWA
423,47.96,826.2195854938099,-4.15,347b42de,0101DC,115,36975,538,,B789,SU-GES,1711229549,JFK,CAI,MS986,MS,0,0,MSR986,MSR
432,42.95,0.0,24.37,347bc8dd,3C56A3,118,36975,440,,A321,D-AEUC,1711229548,FRA,IST,LH8346,LH,0,-64,GEC8346,GEC
457,52.48,1086.5663193090909,6.63,347b2ae8,A95C2F,292,36025,470,,B744,N702CA,1711229548,,,,,0,0,CMB559,NCR
475,41.07,1949.3718944100162,24.6,347be813,501024,277,36000,446,,A320,ZA-MMK,1711229549,IST,TIA,ZB1004,ZB,0,0,ABN1004,ABN
507,44.61,3672.616894813203,3.16,347bab07,45211E,57,36000,477,,A320,LZ-LAJ,1711229549,FUE,STR,DI6453,DI,0,-128,MBU6453,MBU
537,40.87,315.73284827468444,24.05,347bc467,01023F,329,36000,428,,B738,SU-RSB,1711229547,,,4S3113,4S,0,-64,RSX3113,RSX
595,34.17,1462.598351156314,11.79,347c0050,01802E,334,36000,410,,A320,5A-ONA,1711229549,MJI,TUN,8U454,8U,0,0,AAW454,AAW
598,47.49,4642.381236725111,18.22,347b00c5,440A8D,292,36000,433,,B744,OE-IFK,1711229548,NQZ,LGG,3V854,3V,0,64,TAY854,ABR
665,53.63,4080.608005556054,22.81,347b8c6f,010250,11,35025,508,,A321,SU-TCL,1711229543,SSH,SVO,UJ611,UJ,0,-64,LMU611,LMU
668,34.58,0.0,23.11,347bdd07,02A193,117,35025,487,,A320,TS-IMT,1711229547,TUN,JED,TU5529,TU,0,0,TAR5529,TAR
671,58.38,445.41964740908213,6.57,347bd6b7,479301,341,35025,440,,E290,LN-WEC,1711229548,MUC,BGO,,,0,0,WIF3J,WIF
673,34.31,713.5100731600052,45.31,347ae834,AE07E8,150,35025,418,,C17,95-0105,1711229543,,,,,0,1216,MOOSE48,RCH
683,40.78,0.0,33.2,347bfc2f,732443,107,35000,432,,A306,EP-IBC,1711229546,IST,IKA,IR768,IR,0,-64,IRA768,IRA
700,40.83,912.0185936380054,35.33,347be872,150694,85,35000,417,,CRJ2,RA-67220,1711229550,IST,VKO,RFE9006,RF,0,0,RFE9006,PLG
704,37.57,288.29648513836173,20.84,347bc57c,39B117,139,35000,532,,A35K,F-HMIX,1711229550,ORY,RUN,BF700,BF,0,0,FBU70A,FBU
714,50.03,389.71539280411105,15.41,347bf12b,3007F1,92,35000,470,,E190,I-JEND,1711229549,FRA,KTW,EN8762,EN,0,-64,DLA9EH,DLA
717,35.45,708.8043492872608,-11.77,347b6bb9,E8021C,206,35000,444,,B763,CC-CXE,1711229549,FRA,SID,UC1506,UC,0,-64,LCO1506,LCO
724,41.64,1945.9791902566442,32.17,347b98fc,70605E,111,35000,456,,B77W,9K-AOL,1711229548,LHR,KWI,KU106,KU,0,0,KAC106,KAC
730,41.81,7895.1615520803925,40.41,347b7b48,60183A,92,35000,482,,B77L,EZ-A778,1711229543,LHR,ASB,T5428,T5,0,64,TUA428,TUA
743,59.81,0.0,50.32,347be22b,151E6E,88,35000,512,,A321,RA-73326,1711229547,LED,OMS,N4305,N4,0,0,NWS305,NWS
746,36.73,854.9153974934702,48.46,347b7d89,3C4581,122,35000,521,,B77L,D-AALA,1711229545,FRA,BOM,3S628,3S,0,64,BOX628,BOX
748,58.82,412.61116903302604,46.52,347bde41,140AB5,126,35000,482,,E190,RA-02741,1711229548,LED,MQF,EO341,EO,0,0,KAR341,KAR
753,41.25,438.3882351104887,45.52,347bc95b,503E9A,109,35000,484,,A320,LY-WIZ,1711229547,IST,GYD,J278,J2,0,-64,AHY078,AHY
757,42.63,1980.1040281617677,23.15,347bdd3d,4D21E6,143,35000,468,,B738,9H-SHO,1711229548,PRG,TLV,BZ461,BZ,0,0,BBG461,BBG
759,42.08,563.6399973975905,36.56,347bdffb,600B21,90,35000,422,,B744,4K-SW888,1711229551,IST,GYD,7L1406,7L,0,0,AZG1406,AZG
760,41.73,0.0,49.14,347b9df8,7816BD,56,35000,546,,A332,B-308P,1711229549,BUD,TFU,3U9808,3U,0,0,CSC9808,CSC
767,37.94,2559.3155891047113,26.13,347b91ab,738C0A,147,35000,474,,B763,4X-IAJ,1711229548,OSL,TLV,5C602,5C,0,0,ICL602,CHG
770,47.42,7663.881669484275,3.58,347bf501,4D22AB,132,34975,514,,A20N,9H-NED,1711229550,LHR,MLA,KM103,KM,0,0,AMC103,AMC
781,34.91,242.39281909817913,26.58,347b9cbb,0101B4,146,34975,476,,A320,SU-BQM,1711229549,BRE,HRG,NP6292,NP,0,0,NIA6292,NIA
785,38.8,1948.273291336766,41.0,347bdb52,731A2D,104,34975,500,,A306,EP-FQM,1711229543,IST,IKA,QB2214,QB,0,0,QSM2214,QSM
789,42.08,983.7488985578801,30.66,347bac21,4B8472,110,34900,457,,B744,TC-ACR,1711229549,CDG,DOH,QR8254,QR,0,0,QTR8254,RUN
803,42.52,1427.3801785810367,25.93,347bb841,39B228,131,34475,461,,A332,F-HMRI,1711229548,AMS,IST,TK6370,TK,0,-1536,THY6370,CMA
819,37.33,1027.4461970887298,26.19,347bd622,01023D,333,34025,423,,A320,SU-BUU,1711229550,HRG,NUE,SM2966,SM,0,0,MSC2966,MSC
829,40.18,6272.210767082881,48.13,347be207,728646,268,34000,369,,BCS3,YI-ARF,1711229548,GYD,BGW,IA422,IA,0,0,IAW422,IAW
830,35.64,1706.6620671727792,1.88,347be968,05E057,225,34000,400,,B38M,5T-CLJ,1711229548,TUN,NKC,L6117,L6,0,0,MAI117,MAI
853,40.32,935.4643163438795,6.49,347b70e4,E494A2,76,34000,460,,E390,FAB2854,1711229549,LPA,CIA,BRS505,BR,0,0,BRS505,BRS
867,44.35,5640.710431275697,50.02,347bd05b,600012,201,34000,409,,B735,EK-SHC,1711229547,UFA,EVN,5G101,5G,0,0,SHS101,SHS
884,49.83,0.0,4.77,347bbd92,4D2302,58,33975,459,,B38M,9H-VUD,1711229548,AGP,NRN,FR8613,FR,0,0,RYR7BM,MAY
890,47.41,2846.5057249521496,7.82,347b842c,3C79C1,25,33950,471,,A320,D-ANNA,1711229550,LPA,BER,SR3499,SR,0,0,SDR39CJ,SDR
900,46.44,782.7193955733329,14.04,347bef8f,45203C,134,33225,472,,B733,LZ-BVL,1711229545,FMO,PRN,IV641,IV,0,576,GPX641,BVL
901,50.48,649.8291014403411,10.08,347bab6d,4BB4E4,301,33175,414,,B738,TC-MGD,1711229548,AYT,CGN,4M605,4M,0,-960,MGH605,MGH
913,55.52,0.0,22.45,347b9f0b,780C5D,89,33025,544,,B77L,B-2093,1711229548,MAD,HGH,CAO3138,CA,0,-64,CAO3138,CAO
926,46.82,1374.3762511605682,18.68,347be247,885177,113,33000,499,,B77W,HS-TKW,1711229548,FRA,BKK,TG923,TG,0,0,THA923,THA
938,42.83,0.0,11.57,347ba117,399264,128,33000,522,,A339,F-HETE,1711229548,ORY,RUN,SS772,SS,0,-64,CRL772,CRL
940,41.43,0.0,33.18,347ba116,896442,105,33000,448,,B77L,A6-DDE,1711229543,AMS,AUH,EY918,EY,0,0,ETD918,ETD
942,40.53,2379.7625716708576,17.73,347bc04e,060030,141,33000,500,,A359,3B-NBQ,1711229547,LGW,MRU,MK53,MK,0,0,MAU53,MAU
965,60.54,1342.909969609762,39.83,347bae3e,781140,82,33000,506,,B763,B-1423,1711229548,LGG,YNT,O37564,O3,0,0,CSS7564,CSS
967,59.95,1640.7910780144825,43.56,347bf6c5,151E25,48,33000,469,,B738,RA-73253,1711229549,DME,NSK,Y7403,Y7,0,64,TYA403,TYA
970,42.45,185.92796001140758,35.46,347b8bba,4CAC13,77,33000,396,,A21N,EI-KGD,1711229551,LHR,SCO,KC664,KC,0,0,KZR664,KZR
976,46.94,0.0,13.07,347bd972,7C4923,133,33000,517,,A388,VH-OQD,1711229548,LHR,SIN,QF2,QF,0,-128,QFA2,QFA
978,61.72,6462.94647958061,30.7,347bbace,781F03,88,33000,524,,B77L,B-223G,1711229540,STN,CAN,CSG2532,CS,0,0,CSG2532,CSG
