,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
1410,45.85,0.0,8.86,347b8b3a,300557,21,31925,465,,E195,I-ADJQ,1711216921,TRN,MUC,EN9912,EN,0,1856,DLA9912,DLA
1416,33.82,0.0,35.49,347b8aac,4BB0B2,156,31625,7,,A310,TC-LER,1711216894,BEY,IST,TK6688,TK,0,2688,THY6688,KZU
1422,37.15,0.0,25.79,347b88c0,738444,123,31450,458,,A21N,4X-AGK,1711216920,ATH,TLV,IZ212,IZ,0,1216,AIZ212,AIZ
1436,45.27,230.39073299729552,16.88,347b3ad1,4C01EE,97,31000,496,,A320,YU-APO,1711216922,MAD,BEG,JU571,JU,0,64,ASL84M,ASL
1438,36.28,0.0,33.45,347b6b3b,748020,128,31000,468,,A320,OD-MRR,1711216921,IST,BEY,ME268,ME,0,0,MEA268,MEA
1443,50.09,5393.767672219928,0.72,347b8723,3E37AE,141,31000,477,,C25A,D-IMHA,1711216920,LTN,GVA,,,0,64,ELG52A,ELG
1446,44.41,2115.1053513821294,16.29,347b608c,867FAC,105,31000,520,,B77W,JA733J,1711216920,CDG,HND,JL46,JL,0,0,JAL46,JAL
1451,54.99,325.1969951211671,11.63,347b7c94,781A4B,61,31000,505,,B77L,B-220F,1711216920,AMS,PVG,CK206,CK,0,0,CKK206,CKK
1456,44.49,0.0,15.4,347b54be,4B1939,121,30975,421,,A319,HB-JOJ,1711216921,ZRH,OHD,GM638,GM,0,128,GSW638,GSW
1468,47.73,0.0,10.29,347b635b,4CA863,166,30525,466,,CRJ9,EI-FPI,1711216920,CPH,VCE,SK2691,SK,0,-512,SAS31T,BCY
1477,37.18,1227.148717523229,-5.84,347b8628,4D22E4,123,30025,424,,CRJ2,9H-DOM,1711216921,FAO,AGP,,,0,-64,AXY240W,AXY
1484,42.06,420.4593598377303,-2.47,347b8c30,344445,87,30000,484,,A320,EC-LZD,1711216922,VLL,PMI,E91122,E9,0,0,EVE1122,EVE
1496,58.61,364.41927896275126,32.98,347b75ed,140AB5,309,29525,328,,E190,RA-02741,1711216923,IWA,LED,EO394,EO,0,-1792,KAR394,KAR
3,37.95,5832.526231335177,-3.97,347b8006,49D526,68,43000,473,,C680,OK-OSK,1711217825,FAO,NCE,BOH113,BO,0,64,BOH113,BOH
5,33.94,6067.224197892677,44.71,347b6004,06A1D2,358,43000,516,,GLF6,A7-CGN,1711217825,DIA,LIN,QE985,QE,0,64,QQE985,QQE
6,39.62,953.3820639704511,-3.49,347b59fc,407E4C,7,43000,424,,E55P,G-NHHG,1711217824,AGP,SEN,,,0,64,VCG2HG,VCG
9,47.66,389.3261860735895,8.73,347b6d21,4D2372,97,41000,500,,A332,9H-TQP,1711217825,STN,ISB,,,0,0,HFM640P,HFY
12,45.87,1502.1199260942974,12.5,347b1a2b,A0BE20,136,41000,510,,GLEX,N147QS,1711217823,LTN,DWC,,,0,-576,N147QS,EJA
14,50.6,6535.8955066870485,4.42,347b7abe,43F703,300,41000,396,,E55P,2-TIJL,1711217826,ACH,FAB,,,0,0,ORT05D,ORT
15,67.35,5881.255144016281,14.72,347b7185,478DF2,33,41000,460,,E290,LN-WEB,1711217826,BGO,TOS,WF628,WF,0,-64,WIF8T,WIF
30,36.83,1018.8905802893297,48.19,347af544,732541,109,40975,509,,A332,EP-IJA,1711217826,FRA,IKA,IR720,IR,0,128,IRA720,IRA
46,43.77,0.0,-1.92,347b7444,4068F0,25,40000,388,,E55P,G-JAGA,1711217824,XRY,LBG,,,0,64,LNX23JG,LNX
49,53.08,594.4378670827248,41.33,347afa46,151F37,319,40000,428,,GLEX,RA-73527,1711217823,AZI,VKO,RSJ9627,RS,0,0,RSJ9627,RSJ
55,40.5,0.0,20.72,347a1bba,71C362,274,40000,457,,A359,HL8362,1711217824,ICN,FCO,OZ561,OZ,0,0,AAR561,AAR
58,48.32,0.0,14.39,347a3263,770590,292,40000,436,,A333,4R-ALP,1711217824,CMB,LHR,UL503,UL,0,0,ALK503,ALK
66,61.12,0.0,-0.74,347b8902,45C86A,108,39025,472,,A320,OY-RCJ,1711217825,FAE,CPH,RC454,RC,0,0,FLI454,FLI
73,55.28,0.0,-12.16,347b2104,4CC546,345,39025,396,,A21N,TF-PLB,1711217823,AGP,KEF,,,0,0,FPY43M,FPY
81,39.33,676.9219167607758,-4.59,347b4813,4CADA0,185,39000,360,,C56X,EJ-PRLN,1711217825,DUB,AGP,SON5,SO,0,0,SON005,SON
83,40.17,247.8018982567491,36.75,347b0480,89649D,114,39000,498,,A388,A6-API,1711217824,LHR,AUH,EY20,EY,0,-64,ETD71M,ETD
113,48.37,0.0,14.42,347a0e38,76CD43,290,39000,472,,A359,9V-SJC,1711217824,SIN,CDG,SQ332,SQ,0,0,SIA332,SIA
129,48.65,0.0,7.85,347b784b,04C11C,146,38975,523,,B788,5Y-KZF,1711217824,LHR,NBO,KQ101,KQ,0,-64,KQA101,KQA
162,37.48,0.0,12.86,347b8729,4D2304,313,38000,396,,B38M,9H-VUF,1711217825,MLA,TLS,FR3044,FR,0,-64,RYR46VD,MAY
181,51.63,0.0,-10.03,347b6225,39CE24,296,38000,407,,A359,F-HTRE,1711217824,ORY,EWR,BF720,BF,0,0,FBU72J,FWI
203,50.95,602.7840023380593,5.22,347a66a4,80158C,290,38000,460,,B789,VT-TSP,1711217825,DEL,LHR,UK17,UK,0,-64,VTI017,VTI
